,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
244,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.22,0.0,0.07,0.41,PS4
245,Just Dance 2015,2014,Music,Ubisoft,0.21,0.13,0.0,0.07,0.41,PS4
246,Sword Art Online: Hollow Realization,2016,Role-Playing,Namco Bandai Games,0.18,0.06,0.12,0.05,0.41,PS4
247,Just Dance 2016,2015,Music,Ubisoft,0.19,0.13,0.0,0.07,0.39,PS4
248,Batman: Arkham VR,2016,Action,Warner Bros. Interactive Entertainment,0.32,0.0,0.0,0.07,0.39,PS4
249,Little Nightmares,2017,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39,PS4
250,Tropico 5,2015,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38,PS4
251,Life is Strange,2016,Adventure,Square Enix,0.11,0.16,0.05,0.05,0.37,PS4
252,Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.18,0.07,0.05,0.37,PS4
253,Yakuza Kiwami 2,2017,Action,Sega,0.08,0.06,0.19,0.03,0.37,PS4
254,Vampyr,2018,Role-Playing,Focus Home Interactive,0.12,0.19,0.0,0.06,0.37,PS4
